prioridad,producto,multiunidad,razon_social,establecimientos,tamano,sector,actividad,correo,correo_nominal,telefono,web,colonia,cp
70,03 Expediente Vivo,no,COMESTIBLES MALDONADO SA DE CV,2,251+,Comercio mayoreo,Comercio al por mayor de frutas y verduras frescas,MQUIROZ@C-MALDONADO.COM,no,,WWW.COMESTIBLESMALDONADO.COM,TIERRA Y LIBERTAD,83130
70,03 Expediente Vivo,sí,MOVILIDAD INTEGRAL DE HERMOSILLO SA DE CV,2,251+,Transportes,Transporte colectivo urbano y suburbano de pasajeros en autobuses de r,JTORRES@CI-SA.COM.MX,no,,,ISSSTESON LUX CENTENARIO,83278
70,03 Expediente Vivo,sí,TRANSPORTES PITIC SA DE CV,2,251+,Transportes,Otro autotransporte foráneo de carga general,AMORENO@TPITIC.COM.MX,no,,WWW.TRANSPORTESPITIC.COM.MX,LOS NARANJOS,83100
70,03 Expediente Vivo,no,VANGTEL MEXICO SA DE CV,2,251+,Apoyo a negocios,Servicios de recepción de llamadas telefónicas y promoción por teléfon,ROSSY.RENDON@INTUGO.COM,sí,,WWW.INTUGO.COM,SAHUARO,83178
70,03 Expediente Vivo,no,ONLINE WORLD COMUNICACIONES SA DE CV,2,251+,Apoyo a negocios,Servicios de recepción de llamadas telefónicas y promoción por teléfon,PHERRERA@ONLINEWORL.COM.MX,no,,,ZONA CUARTEL,83137
70,03 Expediente Vivo,no,UNIVERSIDAD KINO AC,2,251+,Educación,Escuelas de educación media superior del sector privado,CCARLOS@UNIKINO.EDU.MX,no,,WWW.UNIKINO.MX,CASA BLANCA,83079
70,03 Expediente Vivo,no,UNIVERSIDAD TECNOLOGICA DE HERMOSILLO SONORA,2,251+,Educación,Escuelas de educación superior del sector público,RECTORIA@UTHERMOSILLO.EDU.MX,no,,WWW.UTHERMOSILLO.EDU.MX,PARQUE INDUSTRIAL,83299
70,03 Expediente Vivo,sí,CENTRO MEDICO DEL NOROESTE SA DE CV,2,251+,Salud,Hospitales del sector privado de otras especialidades médicas,LGRACIA@CLINICADELNOROESTE.COM,no,,WWW.CLINICADELNOROESTA.COM,CENTRO,83000
69,03 Expediente Vivo,no,COMPAÑIA INDUSTRIAL HANKA SA DE CV,3,101-250,Manufactura,Fabricación de explosivos,NORMA.PAEZ@HANKA.COM.MX,sí,6622100295,WWW.HANKA.COM.MX,JESUS GARCIA,83347
68,03 Expediente Vivo,no,DISTRIBUCIONES DANA SA DE CV,5,51-100,Comercio mayoreo,"Comercio al por mayor de cigarros, puros y tabaco",JSAMANIEGO@DISTRIBUCIONESDANA.COM,no,,WWW.DISTRIBUCIONESDANA.COM,QUINTA EMILIA,
68,03 Expediente Vivo,sí,K S COMERCIAL SA DE CV,5,51-100,Comercio menudeo,Comercio al por menor en ferreterías y tlapalerías,FPRADO@KURODA.COM,no,,WWW.KURODA.COM,PIMENTEL,
68,03 Expediente Vivo,sí,MAYOREO DE AUTOPARTES Y ACEITES SA DE CV,6,51-100,Comercio menudeo,"Comercio al por menor de partes y refacciones nuevas para automóviles,",HERMOSILLO@MAYASA.COM.MX,no,,WWW.MAYASA.COM.MX,EL LLANITO,
68,03 Expediente Vivo,sí,PREMIUM RESTAURANT BRANDS S DE RL DE CV,5,51-100,Hospedaje y alimentos,Restaurantes de autoservicio,ANACRISTINA.GARCIA@PRB.COM.MX,sí,,WWW.KFC.COM.MX,PALO VERDE,83280
67,01 Dictamen IFS,no,ACUICOLA SELECTA SA DE CV,1,251+,Agro,Camaronicultura y acuicultura de otros crustáceos en agua dulce,JACOBO.COKER@SELECTA.COM.MX,sí,6622130858,,POBLADO MIGUEL ALEMAN,
67,01 Dictamen IFS,no,AGNICO SONORA SA DE CV,1,251+,Minería,Minería de oro,LUIS.RIOS@AGNICOEAGLE.COM,sí,6623587419,WWW.AGNICOEAGLE.COM,METROCENTRO,
67,01 Dictamen IFS,no,AMPHENOL ALDEN PRODUCTS DE MEXICO SA DE CV,1,251+,Manufactura,"Fabricación de otros instrumentos de medición, control, navegación, y ",APORTILLO@AMPHENOL-OPTIMIZE.COM,no,6319447567,WWW.AMPHENOLALDEN.COM,SAHUARO,
67,01 Dictamen IFS,no,CONSORCIO INDUSTRIAL MEXICANO DE AUTOPARTES S DE RL DE CV,1,251+,Manufactura,Fabricación de asientos y accesorios interiores para vehículos automot,MCABRERAANTONIO@LEAR.COM,no,5555588888,,DINATECH,
67,01 Dictamen IFS,no,LATELEC MÉXICO SA,1,251+,Manufactura,Fabricación de equipo aeroespacial,LILIAVERONICA.GARCIASMITH@LATECOERE.AERO,sí,6621562813,,LA MANGA,
67,01 Dictamen IFS,no,S Q TECH SA DE CV,1,251+,Manufactura,Fabricación de estructuras metálicas,PAULINA.REYES@SQTECH.COM.MX,sí,6621767300,WWW.SQTECH.COM.MX,LA VICTORIA,
66,03 Expediente Vivo,no,ACUICOLA SEASON S DE RL DE CV,3,101-250,Agro,Camaronicultura y acuicultura de otros crustáceos en agua salada,ACUICOLASEASON@GMAIL.COM,no,,,VIVA,
66,03 Expediente Vivo,no,ASOCIACION AGRICOLA HERMOSILLENSE SA,3,101-250,Comercio mayoreo,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para si",ASOCIACIONAGRICOLA@HOTMAIL.COM,no,,,CAFE COMBATE,83165
66,03 Expediente Vivo,no,ORIFLAME MEXICO SA DE CV,3,101-250,Comercio mayoreo,Comercio al por mayor de artículos de perfumería y cosméticos,YOLANDA.ALVAREZ@ORIFLAME.COM,sí,,WWW.ORIFLAME.COM,SAN BENITO,83190
66,03 Expediente Vivo,sí,AUTOS DE HERMOSILLO SA DE CV,3,101-250,Comercio menudeo,Comercio al por menor de automóviles y camionetas nuevos,MRIVERA@GEMSO.COM.MX,no,,WWW.FORDHERMOSILLO.COM,SANTA FE,
66,03 Expediente Vivo,sí,COMERCIALIZADORA ALMACENES GARCIA DE MEXICO SA DE CV,3,101-250,Comercio menudeo,Comercio al por menor en tiendas departamentales,ATENCIONALPUBLICO@CUIDADOCONELPERRO.COM.MX,no,,WWW.CUIDADOCONELPERRO.COM.MX,CENTRO,83000
66,03 Expediente Vivo,sí,GRUPO COMERCIAL DSW SA DE CV,3,101-250,Comercio menudeo,Comercio al por menor en tiendas departamentales,VERONICA.LOPEZ@CCONTROL.COM.MX,sí,,,ZONA CENTRO,
66,03 Expediente Vivo,no,HOSOLA AC,3,101-250,Educación,Escuelas del sector privado que combinan diversos niveles de educación,INFORMES@LAREA.EDU.MX,no,,WWW.LARREA.EDU.MX,PERIODISTA,
66,03 Expediente Vivo,no,INSTITUTO MEXICANO AMERICANO DE RELACIONES CULTURALES S DE RL DE CV,3,101-250,Educación,Escuelas de educación secundaria general del sector privado,JUDITH.URIBE@IMARCHERMOSILLO.EDU.MX,sí,,WWW.IMARCHERMOSILLO.EDU.MX,EL LLANO,83210
66,03 Expediente Vivo,no,ENSEÑANZA E INVESTIGACION SUPERIOR AC,3,101-250,Educación,Escuelas de educación superior del sector privado,MILTON.MARQUEZ@TEC.MX,sí,,WWW.TECMILENIO.MX/ES,ALTO VALLE,
64,01 Dictamen IFS,no,AGRICOLA BACATETE SA DE CV,1,251+,Agro,Beneficio de productos agrícolas,COMERCIOEXTERIOR@BAY.COM.MX,no,,,LA VICTORIA,83304
64,01 Dictamen IFS,no,AGRICOLA SELVA SA DE CV,1,251+,Agro,Beneficio de productos agrícolas,COMERCIOEXTERIOR@BAY.COM.MX,no,,,LA VICTORIA,83304
64,01 Dictamen IFS,no,AGRIMARGOT S DE RL DE CV,1,251+,Agro,Beneficio de productos agrícolas,LORENIAQUINTANA.E@HOTMAIL.COM,sí,,,CAMPO PIAMONTE,83223
64,01 Dictamen IFS,no,EXPLORACIONES MINERAS DEL DESIERTO SA DE CV,1,251+,Minería,Otros servicios relacionados con la minería,GENAROURIAS@HOTMAIL.COM,no,,,PARQUE INDUSTRIAL HERMOSILLO,
64,01 Dictamen IFS,no,EXPLORACIONES MINERAS PEÑOLES SA DE CV,1,251+,Minería,Otros servicios relacionados con la minería,LUIS_CASTRO@PENOLES.COM.MX,sí,,WWW.PENOLES.COM.MX,POYECTO RIO SONORA,
64,01 Dictamen IFS,no,GLOBEXTOOLS SA DE CV,1,251+,Minería,Perforación de pozos petroleros y de gas,RH@GLOBEXPLOREDRILLING.COM,no,,,LA VICTORIA,
64,01 Dictamen IFS,no,LAYNE DE MEXICO SA DE CV,1,251+,Minería,Otros servicios relacionados con la minería,LAYNE.MEXICO@GCING.COM,sí,,WWW.GRANITE.COM_COMPANY_OUR-BRANDS_LEY,PARQUE INDUSTRIAL,83299
64,01 Dictamen IFS,no,MAJOR DRILLING DE MEXICO SA DE CV,1,251+,Minería,Perforación de pozos petroleros y de gas,GILDA.TERAN@MAJORDRILLING.COM,sí,,WWW.MAJORDRILLING.COM,PARQUE INDUSTRIAL,
64,01 Dictamen IFS,no,CFE SUMINISTRADOR DE SERVICIOS BASICOS,1,251+,Energía y agua,Comercialización de energía eléctrica,ERNESTO.SANCHEZ@CFE.MX,sí,,WWW.CFE.MX,PROYECTO RIO SONORA,83270
64,01 Dictamen IFS,no,CFE GENERACION III EPS,1,251+,Energía y agua,Generación de electricidad a partir de combustibles fósiles,EDDY.IBARRA@CFE.GOB.MX,sí,,WWW.CFE.MX,CENTRO,83000
64,01 Dictamen IFS,no,AQUAFIM SA DE CV,1,251+,Construcción,Construcción de sistemas de riego agrícola,GRISELDACHACON@AQUAFIM.COM,no,,WWW.AQUAFIM.COM,SAN BENITO,83190
64,01 Dictamen IFS,no,CONSTRUCTORA ELGA SA DE CV,1,251+,Construcción,Edificación de vivienda unifamiliar,ELGA@HOTMAIL.COM,no,,,COLONIA PITIC,83150
64,01 Dictamen IFS,no,CONSTRUCTORA MENDEZD SA DE CV,1,251+,Construcción,"Construcción de carreteras, puentes y similares",NORMA_ALICIA_AV@HOTMAIL.COM,no,,,SAN BENITO,83190
64,01 Dictamen IFS,no,GRUPO CONSTRUCCIONES PLANIFICADAS SA DE CV,1,251+,Construcción,Preparación de terrenos para la construcción,ANGEL.BUSTAMANTE@CONSTRUPLA.COM.MX,sí,,WWW.CONSTRUPLAN.COM.MX,EMILIANO ZAPATA,83280
64,01 Dictamen IFS,no,CONSTRUVISION SA DE CV,1,251+,Construcción,Edificación de vivienda unifamiliar,VLOPEZ@CONSTRUVISION.COM,no,,,VALLE VERDE,83200
64,01 Dictamen IFS,no,DESARROLLADORA NOLA SA DE CV,1,251+,Construcción,Edificación de vivienda unifamiliar,ELGA@HOTMAIL.COM,no,,,PITIC,83150
64,01 Dictamen IFS,no,MILENIUM CONSTRUCASA SA DE CV,1,251+,Construcción,Edificación de vivienda unifamiliar,BGRACIA@MILENIUMCONSTRUCASA.COM,no,,WWW.MILENIUMCONSTRUCASA.COM,PRADOS DEL SOL,83100
64,01 Dictamen IFS,no,MINERA DE COAHUILA SA DE CV,1,251+,Construcción,Otras construcciones de ingeniería civil,FINANZAS@MINCO.MX,no,,WWW.MINCO.COM.MX,SAN  BENITO,83190
64,01 Dictamen IFS,no,PIXO ACABADOS Y CONCRETOS SA DE CV,1,251+,Construcción,Edificación de vivienda unifamiliar,INFO@PIXO.MX,no,,WWW.PIXO.MX,SAN BENITO,83190
64,01 Dictamen IFS,no,PROYECTOS Y CONSTRUCCIONES VIRGO SA DE CV,1,251+,Construcción,"Construcción de carreteras, puentes y similares",EMONTERO@PCVIRGO.COM,no,,WWW.CONSTRUCCIONESVIRGO.COM,LA MOSCA,83270
64,01 Dictamen IFS,no,CAFEPAC SA DE CV,1,251+,Manufactura,Elaboración de café tostado y molido,RECEPCION@CAFFENIO.COM,no,,WWW.CAFFENIO.COM,CAFE COMBATE,
64,01 Dictamen IFS,no,BEBIDAS PURIFICADAS S DE RL DE CV,1,251+,Manufactura,Elaboración de refrescos y otras bebidas no alcohólicas,JOSE.SERVINORTEGA@GEPP.COM,sí,,WWW.GEPP.COM.MX,LAS PRADERAS,83280
64,01 Dictamen IFS,no,BACHOCO SA DE CV,1,251+,Manufactura,"Matanza de ganado, aves y otros animales comestibles",RAFAEL.CERVANTES@BACHOCO.NET,sí,,,PARQUE INDUSTRIAL,83299
64,01 Dictamen IFS,no,FLEX N GATE HERMOSILLO S DE RL DE CV,1,251+,Manufactura,Fabricación de autopartes de plástico con y sin reforzamiento,MMELENDREZ@FLEXNGATE.COM,no,,,PARQUE INDUSTRIAL DYNATECH SUR,83297
64,01 Dictamen IFS,no,ZOBELE MEXICO SA,1,251+,Manufactura,"Fabricación de jabones, limpiadores y dentífricos",ANCASTILLO@KDC-ONE.COM,no,,WWW.ZOBELE.COM,PARQUE INDUSTRIAL,
64,01 Dictamen IFS,no,SISTEMAS MEDICOS ALARIS SA DE CV,1,251+,Manufactura,Fabricación de material desechable de uso médico,LUIS.ROCHA@BD.COM,sí,,,VISTA BELLA,
64,01 Dictamen IFS,no,EDS MFG MEXICO S DE RL DE CV,1,251+,Manufactura,Fabricación de componentes electrónicos,HAMAVIZCA@EDSMFGMEXICO.COM,no,,,EL LLANO,83210
64,01 Dictamen IFS,no,VICTOR EQUIPMENT DE MEXICO SA DE CV,1,251+,Manufactura,Fabricación de equipo para soldar y soldaduras,RENE.ISLAS@ESAB.COM,sí,,WWW.ESAB.COM,ÁLVARO OBREGÓN,
64,01 Dictamen IFS,no,FORD MOTOR COMPANY SA DE CV,1,251+,Manufactura,Fabricación de automóviles y camionetas,VPEREZ2@FORD.COM,no,,WWW.FORD.MX,PARQUE INDUSTRIAL,83299
64,01 Dictamen IFS,no,SONORA FORMING SA,1,251+,Manufactura,Fabricación de piezas metálicas troqueladas para vehículos automotrice,IRASEMA.MARTINEZ@MAGNA.COM,sí,,,DYNATECH SUR,
64,01 Dictamen IFS,no,STANLEY BLACK & DECKER HERMOSILLO S DE RL DE CV,1,251+,Manufactura,Fabricación de otra maquinaria y equipo para la industria en general,JUAN.GALAZ@SBDINC.COM,sí,,,PARQUE INDUSTRIAL HERMOSILLO NORTE,83118
64,01 Dictamen IFS,no,DISTRIBUIDORA KROMA SA DE CV,1,251+,Comercio mayoreo,Comercio al por mayor de pintura,DIANAALVAREZ@PPG.COM,no,,,LATITUD HERMOSILLO,
64,01 Dictamen IFS,no,CREMERIA DEL YAQUI SA DE CV,1,251+,Comercio mayoreo,Comercio al por mayor de leche y otros productos lácteos,ADELGADO@LECHEYAQUI.COM.MX,no,,WWW.CREMERIADEYAQUI.COM,HERMOSILLO,
64,01 Dictamen IFS,no,EMPRESAS MATCO SA DE CV,1,251+,Comercio mayoreo,Comercio al por mayor de maquinaria y equipo para la construcción y la,JFORTE@MATCO.COM.MX,no,,WWW.MATCO.COM.MX,LA MANGA,83220
64,01 Dictamen IFS,no,INSTRUMENTOS Y EQUIPOS FALCON SA DE CV,1,251+,Comercio mayoreo,"Comercio al por mayor de mobiliario, equipo e instrumental médico y de",J.RODRIGUEZ@FALCONMX.COM,sí,,WWW.FALCONMX.COM,CONSTITUCION,83150
64,01 Dictamen IFS,no,KAL TIRE SA DE CV,1,251+,Comercio mayoreo,"Comercio al por mayor de partes y refacciones nuevas para automóviles,",BENJAMIN_LOZANO@KALTIRE.COM,sí,,WWW.KALTIRE.COM,PARQUE INDUSTRIAL HERMOSILLO,
64,01 Dictamen IFS,no,COSTCO DE MEXICO SA DE CV,1,251+,Comercio menudeo,Comercio al por menor en supermercados,IMPUESTOS@COSTCO.COM.MX,no,,WWW.COSTCO.COM.MX,VILLA SATELITE,
64,01 Dictamen IFS,no,PROCESADORA DE ALIMENTOS HORTICOLAS Y FRUTAS DEL NOROESTE SA DE CV,1,251+,Comercio menudeo,Comercio al por menor de frutas y verduras frescas,ADMINISTRACION@PROCESCIR.COM,no,,WWW.PROCESCIR.COM,PARQUE INDUSTRIAL,83297
64,01 Dictamen IFS,no,TRANSPORTE ESPECIAL DE PASAJE SAPI DE CV,1,251+,Transportes,Alquiler de autobuses con chofer,CONTACTO@MOVIMEX.MX,no,,WWW.MOVIMEX.MX,SAN PEDRO EL SAUCITO,83305
64,01 Dictamen IFS,no,SEGLO OPERACIONES LOGISTICAS SA DE CV,1,251+,Transportes,Otros servicios de intermediación para el transporte de carga,SCHNELLECKEMXUSERS-SC@SCHNELLECKE.COM,no,,WWW.SCHNELLECKE.COM,DYNATECH SUR,83299
64,01 Dictamen IFS,no,WWL VEHICLE SERVICES MEXICO S DE RL DE CV,1,251+,Transportes,Otros servicios de intermediación para el transporte de carga,GILBERTO.MIRAFUENTES@WALWIL.COM,sí,,WWW.2WGLOBAL.COM,PARQUE INDUATRIAL HERMOSILLO,83299
64,01 Dictamen IFS,no,C CUBE TECHNOLOGIES Y ASOCIADOS SC,1,251+,Serv. profesionales,Servicios de diseño de sistemas de cómputo y servicios relacionados,FINANCE-MX@ENCORA.COM,no,,WWW.ENCORA.COM,EL LLANO,83210
64,01 Dictamen IFS,no,GRUPO INDUSTRIAL ESD SA,1,251+,Serv. profesionales,Servicios de ingeniería,INFO@GRUPOESD.COM,no,,WWW.GRUPOESD.COM,SANTA FE,83249
64,01 Dictamen IFS,no,VENDOR PUBLICIDAD EXTERIOR SA DE CV,1,251+,Serv. profesionales,Agencias de publicidad,OSWALDO.BAHENA@JCDECAUX.COM,sí,,WWW.JCDECAUXLATAM.COM.MX,OLIVARES,83180
64,01 Dictamen IFS,no,ASHESI GLOBAL SERVICES DE MEXICO S DE RL DE CV,1,251+,Apoyo a negocios,Servicios de recepción de llamadas telefónicas y promoción por teléfon,RECURSOSHUMANOS@EMERGINGGLOBAL.COM,no,,,SAN BENITO,83190
64,01 Dictamen IFS,no,ATLAS GAPSIN SA,1,251+,Apoyo a negocios,"Servicios de investigación y de protección y custodia, excepto mediant",TITO_NK@HOTMAIL.COM,sí,,,FOVISSTE,83288
64,01 Dictamen IFS,no,R BAGGIO Y ASOCIADOS SA,1,251+,Apoyo a negocios,Servicios de recepción de llamadas telefónicas y promoción por teléfon,RH@CENTELMX.COM,no,,,VILLA SOL,83240
64,01 Dictamen IFS,no,CONDUENT DE MEXICO  SA DE CV,1,251+,Apoyo a negocios,Servicios de recepción de llamadas telefónicas y promoción por teléfon,RAMIRO.ARRIAGA@CONDUENT.COM,sí,,,EL LLANO,83210
64,01 Dictamen IFS,no,CORPORATIVO DE SERVICIOS LEGAXXI SC,1,251+,Apoyo a negocios,Agencias de cobranza,EMORENO@LEGAXXI.COM,no,,WWW.LEGAXXI.COM,COUNTRY CLUB,83010
64,01 Dictamen IFS,no,GRUPO AGUILAS SEGURIDAD PRIVADA S DE RL DE CV,1,251+,Apoyo a negocios,"Servicios de investigación y de protección y custodia, excepto mediant",PFLORES@GRUPOAGUILAS.COM,no,,WWW.GRUPOAGUILAS.COM,LOMA LINDA,83150
64,01 Dictamen IFS,no,LIMPIEZA PROFESIONAL Y DE SERVICIOS LIPSSA SA DE CV,1,251+,Apoyo a negocios,Servicios de limpieza de inmuebles,LIPSSA@PRODIGY.NET.MX,no,,WWW.LIPSSA.COM,SAN BENITO,83190
64,01 Dictamen IFS,no,LISTENTRUST SERVICES S DE RL DE CV,1,251+,Apoyo a negocios,Servicios de recepción de llamadas telefónicas y promoción por teléfon,AORTIZ@LISTENTRUST.COM,no,,WWW.LISTENTRUST.COM,PROYECTO RIO SONORA,83270
64,01 Dictamen IFS,no,GRUPO GTVV SA DE CV,1,251+,Apoyo a negocios,Servicios de limpieza de inmuebles,CONTABILIDAD@NIVEL360.MX,no,,WWW.NIVEL360.COM.MX,LOMA LINDA,83150
64,01 Dictamen IFS,no,PRESTADORA DE SERVICIOS DE PERSONAL DEL PITIC SA DE CV,1,251+,Apoyo a negocios,"Servicios de investigación y de protección y custodia, excepto mediant",ANATABARDILLO@SSPSEGURIDAD.MX,no,,,CENTENARIO,83260
64,01 Dictamen IFS,no,SEGURIDAD PERIVADA PATRINMONIAL SA DE CV,1,251+,Apoyo a negocios,"Servicios de investigación y de protección y custodia, excepto mediant",SEPRIPASA0822@HOTMAIL.COM,no,,,LOS IGUALADOS,83010
64,01 Dictamen IFS,no,SSGIS2G MEXICO S DE RL DE CV,1,251+,Apoyo a negocios,Servicios de recepción de llamadas telefónicas y promoción por teléfon,EBORJES@SUPPORTSERVICESGROUP.COM,no,,,LAS PALMAS,83246
64,01 Dictamen IFS,no,HISPANIC TELESERVICIES DE GUADALAJARA SA DE CV,1,251+,Apoyo a negocios,Servicios de recepción de llamadas telefónicas y promoción por teléfon,GERARDO.RAMIREZGARCIA@TELEPERFORMANCE.COM,sí,,WWW.TELEPERFORMANCE.COM,ALTAMIRANO,
64,01 Dictamen IFS,no,VICA LIMPIEZA INDUSTRIAL SA DE CV,1,251+,Apoyo a negocios,Servicios de limpieza de inmuebles,VICALIMPIEZAINDUSTRIAL@HOTMAIL.COM,no,,,OLIVARES,83180
64,01 Dictamen IFS,no,HOSPITAL PRIVADO DE HERMOSILLO SA,1,251+,Salud,Hospitales del sector privado de otras especialidades médicas,DAMAYA@CIMAHERMOSILLO.COM,no,,WWW.CIMAHERMOSILLO.COM,PROYECTO RIO SONORA,83280
64,01 Dictamen IFS,no,HOSPITAL SAN JOSE DE HERMOSILLO SA DE CV,1,251+,Salud,Hospitales del sector privado de otras especialidades médicas,MCARMENE@GRUPOMEDICOSANJOS.COM,no,,WWW.GRUPOMEDICOSANJOSE.COM,BACHOCO,83148
64,01 Dictamen IFS,no,FORJANDO ESPACIOS AC,1,251+,Hospedaje y alimentos,"Bares, cantinas y similares",CONTABILIDAD@PARQUELARUINA.COM,no,,,5 DE MAYO,83010
